customer_id,customer_zip_code_prefix,customer_city,customer_state
hCT0x9JiGXBQ,58125,VARZEA PAULISTA,SP
PxA7fv9spyhx,3112,ARMACAO DOS BUZIOS,RJ
g3nXeJkGI0Qw,4119,JANDIRA,SP
EOEsCQ6QlpIg,18212,UBERLANDIA,MG
mVz5LO2Vd6cL,88868,ILHABELA,SP
UkqnhxmX7YMP,25902,PORTO UNIAO,SC
85jiDiGSfhTu,4762,GUARULHOS,SP
gDdkaN8b9s1g,75870,MOGI-GUACU,SP
9Csx6oXlpLl1,69068,BEBEDOURO,SP
gZTPKLPRnreg,20921,SAO PAULO,SP
TDEBQrhIwApB,1223,ITAPERUNA,RJ
1k71TCYNFCzj,11703,SERRA,ES
IfWKDQHkjLDd,32407,SAO GONCALO,RJ
kZ0rkJCJ6N5y,13843,MOGI DAS CRUZES,SP
zsCKIdqYLV01,2961,CAICO,RN
FrEvnEiMKGpr,28630,SAO PAULO,SP
3zvaY9gUH9bO,59020,BARRA MANSA,RJ
bUornDCZmRD4,3440,SAO PAULO,SP
qEVfsXFU3er9,3936,APORA,BA
mPg90mQwmDOP,85140,BRASILIA,DF
v6GelvnCrAk5,18500,SAO PAULO,SP
lZ0pUFQvjZNA,37589,LORENA,SP
ckZATUjYdFd3,54070,SAO PAULO,SP
GuxDt46GwQEd,95912,CANOAS,RS
SPV4UclettEh,75132,NOVA IGUACU,RJ
GpdbWoJi61Qc,20011,CARUARU,PE
KD8KlSTtIm3Z,85155,SAO LOURENCO DA MATA,PE
QU7yWUgfIpJX,35360,NOVO HAMBURGO,RS
rgjb3WchpjHg,57690,GOIANIA,GO
JyHhNu9cbCo1,57180,BELO HORIZONTE,MG
Jw0zo2CWiEs7,95925,SAO PAULO,SP
MXiUFyGLUs2Z,89031,NOVA SERRANA,MG
oiBrZODbJTvz,17017,GUACUI,ES
mcuPjOLRkNpR,77807,SAO PAULO,SP
yOjH9Exn64WQ,11680,SAO PAULO,SP
yca6TkmY4yQm,50720,SAO JOAO DE MERITI,RJ
LooHWGt3K5gp,88650,SAO PEDRO DA UNIAO,MG
oZqYD7eyV1EJ,93346,BRASILIA,DF
0hj86xqZbYSV,53610,SAO JOSE,SC
l2wCGNSY1l3Z,58900,ITATIBA,SP
ukZ709Rl8bdF,3809,SAO PAULO,SP
iFsAJRrzVaTS,4932,SAO PAULO,SP
tSG89uyaK6MS,66040,RIBEIRAO PRETO,SP
Ex7BhwPvrGyQ,4551,SANTANA DO ACARAU,CE
f4Frm4WEvj1g,45890,SAO PAULO,SP
ORO4ADUB1jHd,83075,CURITIBA,PR
jQ0u9oBPe3Mg,79620,SAO PAULO,SP
0I8vL0BlM1p1,2943,ATIBAIA,SP
JtX09eqY5lk3,74943,SAO PAULO,SP
sk3z82bQhZAO,25651,RECIFE,PE
eSqRKROmKF9Y,65210,FLORIANOPOLIS,SC
SNzA2roBQaGK,31744,RIO DE JANEIRO,RJ
IGPOK4wVaGbv,13065,TAUBATE,SP
45WzrefbE0kB,99025,SAO PAULO,SP
dGD1MVag3snm,1050,CURITIBA,PR
EI8c9beFpTSQ,75388,SANTA INES,MA
YanexVtkhb2B,6810,SANTOS,SP
iaDXrhsLGSc6,40354,BELO HORIZONTE,MG
hWGGX7sEla9R,36090,ARARAS,SP
MNcdWG4E5iDb,72548,BRASILIA,DF
7mxdMPX1ERJj,9445,UBERLANDIA,MG
JJe2PPwxISzG,25545,SANTA CRUZ DO RIO PARDO,SP
cnalXbv8lRur,65302,CUBATAO,SP
Vpl3DrXMAEhb,65935,ITAPOLIS,SP
cWwtMYBNlwy1,98010,PORTO ALEGRE,RS
bEh2OYyGVzcI,59075,TIMOTEO,MG
3JeAegsqlpZ1,65510,SAO PAULO,SP
6gl6qALuNSUL,6394,CLAUDIO,MG
rAV7gKaOWkEy,71740,BOFETE,SP
CiOHqzRk5bbt,9603,MANHUACU,MG
tIPFV5qJBgvT,78885,TATUI,SP
yD2x7GOSsjqA,76470,GOVERNADOR VALADARES,MG
a9gFQyCfrVym,3920,PARNAIBA,PI
dXsploeBzop3,2757,CURITIBA,PR
9tQzKeNKhIoQ,3809,SAO PAULO,SP
TLYzpBJ3Cbnv,4854,UBERLANDIA,MG
J2bElQYq3gEQ,11446,CARAPICUIBA,SP
lFEdYUjKo6tu,48010,BOM JESUS DA PENHA,MG
8tpStNEuJ43p,26293,PORTO ALEGRE,RS
qvo2fc2aRUvp,63515,ITU,SP
pk1Ke0Nxac36,33930,RIO DE JANEIRO,RJ
UlqYPqEYgETA,8535,NILOPOLIS,RJ
M7wmpVTfmiFp,25545,SANTA CRUZ DO RIO PARDO,SP
4YfVSBGWPVdv,30662,SANTOS,SP
pqIfz7jRxaKh,7911,SAO BERNARDO DO CAMPO,SP
5XGKxFrzDdYP,25804,CAIUA,SP
oWBBqGwqpx4m,75630,BOM JESUS,PI
EeCs1w6JNdPU,39363,PRIMAVERA DO LESTE,MT
hgHQgpZ9rVHu,95870,ITAJAI,SC
uvuFFZDOAlU7,93410,SAO PAULO,SP
bVaqeOVzrNj1,58580,NITEROI,RJ
EZkjVsEKMQF0,88130,ARARAQUARA,SP
LkYwWbX35V3p,36700,SAO PAULO,SP
paCiJAGDh54D,12053,PIRACICABA,SP
wuCRBXrAQIyN,86375,GOIANIA,GO
jsuJ85mr7Rlb,31525,GUARULHOS,SP
7qqTmdyVGDMP,99990,SAO GONCALO,RJ
ebCRKHmjYa2q,82640,JOINVILLE,SC
ap5gXjoc79ju,48020,SAO PAULO,SP
63cb18M1Z31w,4114,IBIRITE,MG
cIIcBGeYxzLl,21640,PALHOCA,SC
asn6Y9BiG6Ma,2261,CURITIBA,PR
MdXOdiX1GYJB,25560,ITUPEVA,SP
DFT8eetndqim,99250,MONTE AZUL PAULISTA,SP
pfARTA1RWJhn,26140,JOINVILLE,SC
G7fLaaLEAieo,44092,CONCORDIA,SC
VOohNhPUdkDS,3274,ARARAQUARA,SP
dvl5K6eo1ouv,62800,OSASCO,SP
Nxs89iJKBJ8Z,2185,JUNDIAI,SP
fo2DhPj0geOU,5642,JANUARIA,MG
ufG7Q9l2g5Dn,25680,SAO PAULO,SP
uJZ6s76zSxtN,95173,CAMPINAS,SP
gngo3QnJVUXB,56460,SAO PAULO,SP
HtPYXtaKFzex,49180,BELO HORIZONTE,MG
xIjzSNbQQ1uw,94451,SAO BERNARDO DO CAMPO,SP
3qJ5VThdsczu,6010,UBERLANDIA,MG
lZCaJq9iYKt0,59015,BRASILIA,DF
ncBjZzosb18g,29330,DOM PEDRITO,RS
E1CIwdUAL7mV,4734,RIO DE JANEIRO,RJ
QsVvy2vjoqJ2,88350,PASSO FUNDO,RS
eWPTvp2Uxgjr,70298,DOURADOS,MS
SDjEL1DMM89j,3974,ASSIS,SP
A5ypt74Dm5ED,39900,ACARAU,CE
M8toooCMGG65,39625,PORTO ALEGRE,RS
YeToIjRZbK1b,4832,SAO PAULO,SP
zwFtWWaE2Ja8,37305,VERA,MT
Yu7y0eUjrMjF,1414,SAO BERNARDO DO CAMPO,SP
tvBnqB57rQrh,2634,BETIM,MG
EmOTT0NimdgC,64080,RESENDE,RJ
3QWW2QATQoks,2247,MAUA,SP
9U87V4FA6owh,70865,SAO PAULO,SP
LGiyKX8bqvRl,59300,TELEMACO BORBA,PR
JG5L1Y6huM3k,26572,PERUIBE,SP
grsbZ5L1H5ty,19030,MONTE CARMELO,MG
ZLVSgLGIBt50,85303,ASSIS,SP
LFLEYmt3mGzI,29192,RIO DE JANEIRO,RJ
26bdBz0weg9K,28145,CARAPICUIBA,SP
iWDrWao0rL2O,89108,TAUBATE,SP
6rX0opAYaf5O,92323,SANTOS,SP
WnCydkx96ul3,13609,BUENOPOLIS,MG
frNd2yIHhY1X,76390,PARANAITA,MT
5aMM3LwvZE6p,9655,RECIFE,PE
5nowe7IWIlDi,2932,SAO PAULO,SP
nOJb8kxjeqMu,89202,CAXIAS DO SUL,RS
qVYMpdAeuyNn,31746,CAMPINAS,SP
9QRPPukPDKtj,37136,BETIM,MG
ejNZQ7X7x2T3,94950,TERESINA,PI
Aecwfm7Hmsal,13170,CASCAVEL,PR
tc4f86hhYwpB,95250,SALVADOR,BA
u1gplSGJr1m5,11661,SALVADOR,BA
JOJJwXBnFMcH,83411,CURITIBA,PR
txfGakDnlUkr,35325,LAGOA D'ANTA,RN
Hv2CJ4UgONx7,26263,BETIM,MG
aptoeeHlIxbP,33120,RIBEIRAO PRETO,SP
Df666drgmPfx,42721,PARANAGUA,PR
DRJMerHUON15,6690,MATUPA,MT
7oijac5SpbW5,4690,GUARULHOS,SP
N9TistbY5amC,4880,SAO JOSE DOS CAMPOS,SP
CWALhpNIASHI,95835,CARAPICUIBA,SP
jnoKHCWQzJID,79115,LENCOIS PAULISTA,SP
eKhyaqjCe7PA,24310,CAMPO MOURAO,PR
0XrxfhxhjXYE,74660,RIO DE JANEIRO,RJ
yBX7ugjJOTSS,6030,ITUMBIARA,GO
oCaEiLxD6fHF,45710,SAO PAULO,SP
I94cAhDO80TM,35470,FERRAZ DE VASCONCELOS,SP
nyVwdmiDhhG6,39780,BELO HORIZONTE,MG
uQoGZ4NfZUsh,35894,CONCHAL,SP
5dFJ3hGKYymc,89970,IPATINGA,MG
fvrCaNELssNc,97385,SAO PAULO,SP
g0UqYq0z41XR,74460,NITEROI,RJ
VBhPvelXEBtq,95181,DIAMANTINO,MT
TSar8iKGBFdD,88704,NITEROI,RJ
YsC9HcNGEOnJ,15010,CABRALIA PAULISTA,SP
